name,ticker,fiscal_year,net_profit_margin,debt_to_assets_ratio,prior_year_margin,margin_pct_change
Lockheed Martin Corporation,LMT,2023,0.1024,0.8697,0.0869,17.8
Lockheed Martin Corporation,LMT,2024,0.0751,0.8861,0.1024,-26.7
Lockheed Martin Corporation,LMT,2025,0.0669,0.8877,0.0751,-10.9
"MetLife, Inc.",MET,2009,0.0646,,,
"MetLife, Inc.",MET,2010,0.0269,,0.0646,-58.4
"MetLife, Inc.",MET,2011,0.0374,,0.0269,39.0
"MetLife, Inc.",MET,2011,0.0082,,0.0374,-78.1
"MetLife, Inc.",MET,2012,0.0622,,0.0082,658.5
"MetLife, Inc.",MET,2012,0.2765,,0.0622,344.5
"MetLife, Inc.",MET,2013,0.0047,,0.2765,-98.3
"MetLife, Inc.",MET,2014,0.0143,,0.0047,204.3
"MetLife, Inc.",MET,2015,-0.6331,,0.0143,-4527.3
"MetLife, Inc.",MET,2016,-0.0858,,-0.6331,86.4
"MetLife, Inc.",MET,2017,-0.0494,,-0.0858,42.4
"MetLife, Inc.",MET,2018,0.0139,0.5264,-0.0494,128.1
"MetLife, Inc.",MET,2019,0.0896,0.5590,0.0139,544.6
"MetLife, Inc.",MET,2020,-0.0249,0.6018,0.0896,-127.8
"MetLife, Inc.",MET,2021,-0.0172,0.6549,-0.0249,30.9
"MetLife, Inc.",MET,2022,0.0052,0.6434,-0.0172,130.2
"Meta Platforms, Inc.",META,2011,0.2695,0.2262,,
"Meta Platforms, Inc.",META,2012,0.0104,0.2217,0.2695,-96.1
"Meta Platforms, Inc.",META,2013,0.1905,0.1355,0.0104,1731.7
"Meta Platforms, Inc.",META,2014,0.2358,0.1017,0.1905,23.8
"Meta Platforms, Inc.",META,2015,0.2057,0.1050,0.2358,-12.8
"Meta Platforms, Inc.",META,2016,0.3697,0.0888,0.2057,79.7
"Meta Platforms, Inc.",META,2017,0.3920,0.1204,0.3697,6.0
Microsoft Corporation,MSFT,2009,0.2493,,,
Microsoft Corporation,MSFT,2010,0.3002,0.4638,0.2493,20.4
NVIDIA Corporation,NVDA,2009,-0.0088,,,
NVIDIA Corporation,NVDA,2010,-0.0204,,-0.0088,-131.8
NVIDIA Corporation,NVDA,2011,0.0714,,-0.0204,450.0
NVIDIA Corporation,NVDA,2012,0.1453,,0.0714,103.5
NVIDIA Corporation,NVDA,2013,0.1314,,0.1453,-9.6
NVIDIA Corporation,NVDA,2014,0.1065,,0.1314,-18.9
NVIDIA Corporation,NVDA,2015,0.1347,0.3865,0.1065,26.5
NVIDIA Corporation,NVDA,2016,0.1226,0.3818,0.1347,-9.0
NVIDIA Corporation,NVDA,2017,0.2411,0.4113,0.1226,96.7
NVIDIA Corporation,NVDA,2018,0.3137,0.3354,0.2411,30.1
NVIDIA Corporation,NVDA,2020,0.2561,0.2952,0.3137,-18.4
NVIDIA Corporation,NVDA,2021,0.2598,0.4133,0.2561,1.4
NVIDIA Corporation,NVDA,2022,0.3623,0.3977,0.2598,39.5
NVIDIA Corporation,NVDA,2023,0.1619,0.4633,0.3623,-55.3
NVIDIA Corporation,NVDA,2024,0.4885,0.3461,0.1619,201.7
NVIDIA Corporation,NVDA,2025,0.5585,0.2892,0.4885,14.3
NVIDIA Corporation,NVDA,2026,0.5560,0.2394,0.5585,-0.4
"Tesla, Inc.",TSLA,2010,-1.3219,0.4637,,
"Tesla, Inc.",TSLA,2011,-1.2456,0.6860,-1.3219,5.8
"Tesla, Inc.",TSLA,2012,-0.9588,0.8881,-1.2456,23.0
"Tesla, Inc.",TSLA,2013,-0.0368,0.7240,-0.9588,96.2
"Tesla, Inc.",TSLA,2014,-0.0919,0.8342,-0.0368,-149.7
"Tesla, Inc.",TSLA,2015,-0.2196,0.8602,-0.0919,-139.0
"Tesla, Inc.",TSLA,2016,-0.0964,0.7391,-0.2196,56.1
"Tesla, Inc.",TSLA,2017,-0.1668,0.8034,-0.0964,-73.0
"Tesla, Inc.",TSLA,2018,-0.0455,0.7877,-0.1668,72.7
"Tesla, Inc.",TSLA,2019,-0.0351,0.7636,-0.0455,22.9
"Tesla, Inc.",TSLA,2020,0.0229,0.5449,-0.0351,165.2
"Tesla, Inc.",TSLA,2021,0.1025,0.4917,0.0229,347.6
"Tesla, Inc.",TSLA,2022,0.1541,0.4426,0.1025,50.3
"Tesla, Inc.",TSLA,2023,0.1550,0.4034,0.1541,0.6
"Tesla, Inc.",TSLA,2024,0.0726,0.3964,0.1550,-53.2
"Tesla, Inc.",TSLA,2025,0.0400,0.3987,0.0726,-44.9
"Uber Technologies, Inc.",UBER,2018,0.0885,0.7169,,
"Uber Technologies, Inc.",UBER,2019,-0.6013,0.5220,0.0885,-779.4
"Uber Technologies, Inc.",UBER,2020,-0.6076,0.5864,-0.6013,-1.0
"Uber Technologies, Inc.",UBER,2021,-0.0284,0.6041,-0.6076,95.3
"Uber Technologies, Inc.",UBER,2022,-0.2868,0.7352,-0.0284,-909.9
"Uber Technologies, Inc.",UBER,2023,0.0506,0.6723,-0.2868,117.6
"Uber Technologies, Inc.",UBER,2024,0.2241,0.5614,0.0506,342.9
"Uber Technologies, Inc.",UBER,2025,0.1933,0.5456,0.2241,-13.7
