name,ticker,fiscal_year,net_profit_margin,peer_avg_margin,margin_diff_from_peers
"Meta Platforms, Inc.",META,2015,0.2057,-0.0156,0.2213
NVIDIA Corporation,NVDA,2015,0.1347,-0.0156,0.1503
"Tesla, Inc.",TSLA,2015,-0.2196,-0.0156,-0.2040
Apple Inc.,AAPL,2016,0.2119,0.1224,0.0895
Adobe Inc.,ADBE,2016,0.1996,0.1224,0.0772
The Boeing Company,BA,2016,0.0518,0.1224,-0.0706
Alphabet Inc.,GOOGL,2016,0.2158,0.1224,0.0934
Lockheed Martin Corporation,LMT,2016,0.1121,0.1224,-0.0103
"MetLife, Inc.",MET,2016,-0.0858,0.1224,-0.2082
"Meta Platforms, Inc.",META,2016,0.3697,0.1224,0.2473
NVIDIA Corporation,NVDA,2016,0.1226,0.1224,0.0002
"Tesla, Inc.",TSLA,2016,-0.0964,0.1224,-0.2188
Apple Inc.,AAPL,2017,0.2109,0.1224,0.0885
Adobe Inc.,ADBE,2017,0.2320,0.1224,0.1096
The Boeing Company,BA,2017,0.0878,0.1224,-0.0346
Alphabet Inc.,GOOGL,2017,0.1142,0.1224,-0.0082
Lockheed Martin Corporation,LMT,2017,0.0401,0.1224,-0.0823
"MetLife, Inc.",MET,2017,-0.0494,0.1224,-0.1718
"Meta Platforms, Inc.",META,2017,0.3920,0.1224,0.2696
NVIDIA Corporation,NVDA,2017,0.2411,0.1224,0.1187
"Tesla, Inc.",TSLA,2017,-0.1668,0.1224,-0.2892
Apple Inc.,AAPL,2018,0.2241,0.1448,0.0793
Adobe Inc.,ADBE,2018,0.2869,0.1448,0.1421
The Boeing Company,BA,2018,0.1034,0.1448,-0.0414
Alphabet Inc.,GOOGL,2018,0.2246,0.1448,0.0798
Lockheed Martin Corporation,LMT,2018,0.0939,0.1448,-0.0509
"MetLife, Inc.",MET,2018,0.0139,0.1448,-0.1309
NVIDIA Corporation,NVDA,2018,0.3137,0.1448,0.1689
"Tesla, Inc.",TSLA,2018,-0.0455,0.1448,-0.1903
"Uber Technologies, Inc.",UBER,2018,0.0885,0.1448,-0.0563
Adobe Inc.,ADBE,2019,0.2642,0.0036,0.2606
The Boeing Company,BA,2019,-0.0083,0.0036,-0.0119
Alphabet Inc.,GOOGL,2019,0.2122,0.0036,0.2086
Lockheed Martin Corporation,LMT,2019,0.1042,0.0036,0.1006
"MetLife, Inc.",MET,2019,0.0896,0.0036,0.0860
"Tesla, Inc.",TSLA,2019,-0.0351,0.0036,-0.0387
"Uber Technologies, Inc.",UBER,2019,-0.6013,0.0036,-0.6049
Adobe Inc.,ADBE,2020,0.4088,0.0220,0.3868
The Boeing Company,BA,2020,-0.2042,0.0220,-0.2262
Alphabet Inc.,GOOGL,2020,0.2206,0.0220,0.1986
Lockheed Martin Corporation,LMT,2020,0.1045,0.0220,0.0825
"MetLife, Inc.",MET,2020,-0.0249,0.0220,-0.0469
NVIDIA Corporation,NVDA,2020,0.2561,0.0220,0.2341
"Tesla, Inc.",TSLA,2020,0.0229,0.0220,0.0009
"Uber Technologies, Inc.",UBER,2020,-0.6076,0.0220,-0.6296
Adobe Inc.,ADBE,2021,0.3055,0.1180,0.1875
The Boeing Company,BA,2021,-0.0675,0.1180,-0.1855
Alphabet Inc.,GOOGL,2021,0.2951,0.1180,0.1771
Lockheed Martin Corporation,LMT,2021,0.0942,0.1180,-0.0238
"MetLife, Inc.",MET,2021,-0.0172,0.1180,-0.1352
NVIDIA Corporation,NVDA,2021,0.2598,0.1180,0.1418
"Tesla, Inc.",TSLA,2021,0.1025,0.1180,-0.0155
"Uber Technologies, Inc.",UBER,2021,-0.0284,0.1180,-0.1464
